"ID","StoreID","ProductID","Date","Day","Rainfall","Temp","GasPrice","InterestRate","Sales"
1,10,1,2015-01-01,5,1.47024485074203,27,57,12.16,55761
2,10,1,2015-01-02,6,2.26877440151983,28,59,4.56,34523
3,10,1,2015-01-03,7,2.65360593739434,39,57,8.46,19692
4,10,1,2015-01-04,1,1.57188743887196,32,52,7.21,25954
5,10,1,2015-01-05,2,1.75554236407576,30,37,2.92,46583
6,10,1,2015-01-06,3,2.86075163675233,31,57,12.08,40857
7,10,1,2015-01-07,4,1.77620161112081,43,36,6.39,26090
8,10,1,2015-01-08,5,1.99638425014963,35,25,11.31,51770
9,10,1,2015-01-09,6,2.80491135904862,44,56,5.53,14797
10,10,1,2015-01-10,7,2.18302055971949,32,57,2.72,58947
11,10,1,2015-01-11,1,1.63110928374368,41,41,10.09,39639
12,10,1,2015-01-12,2,1.41234579781802,37,25,4.9,27633
13,10,1,2015-01-13,3,2.28885867979396,25,38,11.51,41008
14,10,1,2015-01-14,4,1.50286167926801,35,41,14.54,15034
15,10,1,2015-01-15,5,2.89789623352188,38,27,12.97,59457
16,10,1,2015-01-16,6,1.3404228556556,28,40,9.13,48522
17,10,1,2015-01-17,7,1.6221746822901,34,48,5.6,43478
18,10,1,2015-01-18,1,2.32205324311898,39,59,6.44,23806
19,10,1,2015-01-19,2,2.61452744086398,41,35,5.29,52896
20,10,1,2015-01-20,3,1.19661454367842,26,53,6.3,23079
21,10,1,2015-01-21,4,2.37717914330309,25,58,4.71,31963
22,10,1,2015-01-22,5,1.67625565155553,31,32,12.46,29493
23,10,1,2015-01-23,6,1.36782797962892,34,37,9.22,29760
24,10,1,2015-01-24,7,1.84714604708634,38,35,9.54,44515
25,10,1,2015-01-25,1,1.78189053468694,41,54,2.54,16022
26,10,1,2015-01-26,2,1.63278119966313,28,44,3.33,40365
27,10,1,2015-01-27,3,1.80972038646933,32,59,14.13,22574
28,10,1,2015-01-28,4,2.4956759128468,25,54,5.72,12639
29,10,1,2015-01-29,5,2.43805147715521,35,36,12.49,52995
30,10,1,2015-01-30,6,1.30471845149808,36,49,12.13,16096
31,10,1,2015-01-31,7,1.11765849538467,25,28,11.65,47802
32,10,1,2015-02-01,1,1.1277186225521,43,27,6.26,46717
33,10,1,2015-02-02,2,2.02143265017645,25,59,6.43,33978
34,10,1,2015-02-03,3,1.17955864244609,34,58,4.99,54531
35,10,1,2015-02-04,4,2.38660329820666,41,30,5.63,10303
36,10,1,2015-02-05,5,2.75188460319423,29,26,10.71,56754
37,10,1,2015-02-06,6,1.46647562240441,35,49,3.59,21784
38,10,1,2015-02-07,7,2.70180651527427,39,28,14.73,37027
39,10,1,2015-02-08,1,2.32971379153047,41,35,8.83,22373
40,10,1,2015-02-09,2,1.2460587110382,37,26,8.04,27702
41,10,1,2015-02-10,3,1.70599154258315,28,42,9.98,35261
42,10,1,2015-02-11,4,2.95824431191262,36,47,13.14,33210
43,10,1,2015-02-12,5,2.42496664701364,32,44,7.26,14277
44,10,1,2015-02-13,6,1.12177948240567,41,47,10.93,52626
45,10,1,2015-02-14,7,2.66156154370667,36,56,14,39743
46,10,1,2015-02-15,1,2.78185581429716,29,54,11.56,49862
47,10,1,2015-02-16,2,2.14306372073788,27,25,14.03,45683
48,10,1,2015-02-17,3,2.11992527989311,27,57,8.82,58689
49,10,1,2015-02-18,4,1.88921595553319,37,58,9.19,34101
50,10,1,2015-02-19,5,1.16378629840298,27,48,2.55,26038
51,10,1,2015-02-20,6,2.15809447215238,42,51,10.92,22190
52,10,1,2015-02-21,7,2.59912914671068,27,48,12.45,14248
53,10,1,2015-02-22,1,2.16292594190185,29,39,8.02,54358
54,10,1,2015-02-23,2,2.61493604841018,29,38,14.93,49677
55,10,1,2015-02-24,3,2.48120966493116,31,31,11.33,19859
56,10,1,2015-02-25,4,2.27660781923836,37,54,10.57,34671
57,10,1,2015-02-26,5,2.1219030915145,29,54,9.15,32963
58,10,1,2015-02-27,6,1.94917360765753,25,41,13.54,37065
59,10,1,2015-02-28,7,2.52074662829444,42,42,8.47,39420
60,10,1,2015-03-01,1,1.73876895347711,39,31,6.87,49141
61,10,1,2015-03-02,2,2.13198224653397,41,43,4.29,59899
62,10,1,2015-03-03,3,2.68130346779305,29,57,10.95,45748
63,10,1,2015-03-04,4,1.97876288429352,38,34,6.91,39524
64,10,1,2015-03-05,5,2.61993656811272,42,54,6.74,47340
65,10,1,2015-03-06,6,1.80129914586536,28,46,10.97,31909
66,10,1,2015-03-07,7,2.52423134223437,38,57,13.74,37553
67,10,1,2015-03-08,1,1.76339553887193,41,27,13.95,56892
68,10,1,2015-03-09,2,2.3782691660681,32,43,6.06,34474
69,10,1,2015-03-10,3,2.05168587228192,26,32,3.65,30684
70,10,1,2015-03-11,4,1.58793032281714,25,37,10.4,43166
71,10,1,2015-03-12,5,1.65326257992407,35,37,5.72,26491
72,10,1,2015-03-13,6,1.49061067622005,33,52,3.79,28737
73,10,1,2015-03-14,7,1.93282888764563,32,58,9.03,57630
74,10,1,2015-03-15,1,2.53978019679316,31,54,13.62,36021
75,10,1,2015-03-16,2,2.44984306807781,31,55,4.04,17063
76,10,1,2015-03-17,3,2.23862163559529,34,30,4.97,52183
77,10,1,2015-03-18,4,1.19980090469815,38,31,11.28,34463
78,10,1,2015-03-19,5,2.05925448332031,36,45,9.56,37342
79,10,1,2015-03-20,6,2.00918884997748,30,56,2.5,55381
80,10,1,2015-03-21,7,1.96957098448259,25,54,12.82,13496
81,10,1,2015-03-22,1,2.43213551110904,35,51,13.7,58358
82,10,1,2015-03-23,2,2.54479089585171,40,52,8.49,40734
83,10,1,2015-03-24,3,2.23731281721186,34,38,11.26,30979
84,10,1,2015-03-25,4,1.49643136144498,35,48,2.79,10605
85,10,1,2015-03-26,5,2.37893284517931,34,36,5.46,46020
86,10,1,2015-03-27,6,1.93860137785733,41,44,8.39,28252
87,10,1,2015-03-28,7,2.98917870709302,37,51,2.61,49983
88,10,1,2015-03-29,1,2.45060678986272,26,51,11.9,40160
89,10,1,2015-03-30,2,2.37183200116132,36,59,10.67,50501
90,10,1,2015-03-31,3,2.23855335940416,39,46,13.98,14989
91,10,1,2015-04-01,4,2.15682097697252,40,44,4.3,25278
92,10,1,2015-04-02,5,1.46992694097855,37,40,11.77,14688
93,10,1,2015-04-03,6,1.99021692199637,44,42,5.55,16236
94,10,1,2015-04-04,7,2.1807377567104,38,59,13.64,25252
95,10,1,2015-04-05,1,1.07112734027359,34,53,5.17,52368
96,10,1,2015-04-06,2,1.40704355380748,32,32,12.87,51756
97,10,1,2015-04-07,3,2.97326413332509,33,28,13.92,31734
98,10,1,2015-04-08,4,2.82419310825643,28,43,12.62,15934
99,10,1,2015-04-09,5,2.92449727684542,28,30,9.27,12054
100,10,1,2015-04-10,6,1.97070008368125,32,54,12.44,12122
101,10,1,2015-04-11,7,1.80406451181699,40,55,14.5,14766
102,10,1,2015-04-12,1,1.60942800886532,37,50,10.72,39562
103,10,1,2015-04-13,2,2.45188144174524,35,40,13.22,44277
104,10,1,2015-04-14,3,1.02843801847871,36,33,10.8,26279
105,10,1,2015-04-15,4,2.41197486624435,36,39,6.39,14409
106,10,1,2015-04-16,5,2.02590641474775,43,50,10.18,22272
107,10,1,2015-04-17,6,2.67457871326136,44,25,11.62,58133
108,10,1,2015-04-18,7,1.45235357455792,26,34,13.93,50126
109,10,1,2015-04-19,1,2.60731098525239,38,56,13.58,44789
110,10,1,2015-04-20,2,2.82647038200324,40,44,3.03,20139
111,10,1,2015-04-21,3,1.8091742961496,25,33,4.12,55625
112,10,1,2015-04-22,4,2.00366606411864,29,28,13,25609
113,10,1,2015-04-23,5,1.47079997023437,27,46,8.65,26291
114,10,1,2015-04-24,6,2.37676874575485,30,40,2.61,57683
115,10,1,2015-04-25,7,1.32422803853543,31,55,10.85,26763
116,10,1,2015-04-26,1,2.55054363271107,34,53,8.04,52662
117,10,1,2015-04-27,2,2.87478794517761,27,57,4.08,15992
118,10,1,2015-04-28,3,2.26267139423061,38,53,8.01,43420
119,10,1,2015-04-29,4,2.11458363534865,42,39,13.29,56407
120,10,1,2015-04-30,5,1.69033845719294,37,25,8.6,44097
121,10,1,2015-05-01,6,1.5312624522933,43,37,11.94,17597
122,10,1,2015-05-02,7,2.64421910338132,32,58,6.25,11311
123,10,1,2015-05-03,1,1.69017996471287,35,49,3.32,16482
124,10,1,2015-05-04,2,1.389845335306,41,27,4.72,58211
125,10,1,2015-05-05,3,1.12598324910465,32,54,7.69,30183
126,10,1,2015-05-06,4,1.52054225675238,25,35,14.64,16558
127,10,1,2015-05-07,5,2.68664369486451,26,39,4.14,28679
128,10,1,2015-05-08,6,2.68711344280808,42,25,12.77,21723
129,10,1,2015-05-09,7,2.56533568334922,35,39,12.65,43811
130,10,1,2015-05-10,1,2.26249688113917,37,55,3.21,27995
131,10,1,2015-05-11,2,1.5320103043411,37,35,12.76,44273
132,10,1,2015-05-12,3,2.39321334918429,43,58,8.72,27988
133,10,1,2015-05-13,4,2.43334524980634,31,48,3.59,21054
